Komoditas,Tahun,Bulan,Harga
Beras Premium,2021,Januari,12319
Beras Medium,2021,Januari,10865
Kedelai Biji Kering,2021,Januari,10607
Bawang Merah,2021,Januari,30329
Bawang Putih (Bonggol),2021,Januari,26308
Cabai Merah Keriting,2021,Januari,47968
Cabai Rawit Merah,2021,Januari,68226
 Daging Sapi Murni,2021,Januari,121836
 Daging Ayam Ras,2021,Januari,34531
 Telur Ayam Ras,2021,Januari,25454
 Gula Pasir Lokal/Curah,2021,Januari,13513
 Tepung Terigu Curah,2021,Januari,8291
 Minyak Goreng Kemasan,2021,Januari,12577
Beras Premium,2021,Februari,12316
Beras Medium,2021,Februari,10858
Kedelai Biji Kering,2021,Februari,10804
Bawang Merah,2021,Februari,29996
Bawang Putih (Bonggol),2021,Februari,26708
Cabai Merah Keriting,2021,Februari,48132
Cabai Rawit Merah,2021,Februari,74037
 Daging Sapi Murni,2021,Februari,122182
 Daging Ayam Ras,2021,Februari,33699
 Telur Ayam Ras,2021,Februari,24868
 Gula Pasir Lokal/Curah,2021,Februari,13420
 Tepung Terigu Curah,2021,Februari,8312
 Minyak Goreng Kemasan,2021,Februari,12602
Beras Premium,2021,Maret,12275
Beras Medium,2021,Maret,10837
Kedelai Biji Kering,2021,Maret,10955
Bawang Merah,2021,Maret,33050
Bawang Putih (Bonggol),2021,Maret,28356
Cabai Merah Keriting,2021,Maret,48400
Cabai Rawit Merah,2021,Maret,92656
 Daging Sapi Murni,2021,Maret,122031
 Daging Ayam Ras,2021,Maret,33457
 Telur Ayam Ras,2021,Maret,24541
 Gula Pasir Lokal/Curah,2021,Maret,13355
 Tepung Terigu Curah,2021,Maret,8351
 Minyak Goreng Kemasan,2021,Maret,12698
Beras Premium,2021,April,12211
Beras Medium,2021,April,10754
Kedelai Biji Kering,2021,April,11205
Bawang Merah,2021,April,31729
Bawang Putih (Bonggol),2021,April,28927
Cabai Merah Keriting,2021,April,43568
Cabai Rawit Merah,2021,April,68820
 Daging Sapi Murni,2021,April,124658
 Daging Ayam Ras,2021,April,36096
 Telur Ayam Ras,2021,April,25235
 Gula Pasir Lokal/Curah,2021,April,13377
 Tepung Terigu Curah,2021,April,8392
 Minyak Goreng Kemasan,2021,April,12850
Beras Premium,2021,Mei,12183
Beras Medium,2021,Mei,10735
